,GENENAME,GENEID,PROTEINID,TXBIOTYPE,chemical,protein,experimental,prediction,database,textmining,combined_score,CIDs,Source,ID,pref_name,max_phase,molecule_type,first_approval,mechanism_of_action,action_type,synonyms
548,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm03062316,9606.ENSP00000350941,972,0,800,961,999,CIDs03062316,ChEMBL,CHEMBL1421,DASATINIB,4,Small molecule,2006,SRC inhibitor,INHIBITOR,Dasatinib | Dasatinib hydrate | Dasatinib monohydrate | BMS-354825 | BMS-354825 HYDRATE | BMS-354825-03 | Sprycel
549,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm03062316,9606.ENSP00000350941,972,0,800,961,999,CIDs03062316,ChEMBL,CHEMBL1421,DASATINIB,4,Small molecule,2006,Bcr/Abl fusion protein,INHIBITOR,Dasatinib | Dasatinib hydrate | Dasatinib monohydrate | BMS-354825 | BMS-354825 HYDRATE | BMS-354825-03 | Sprycel
550,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Serine/threonine-protein kinase RAF inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
551,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Platelet-derived growth factor receptor beta inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
552,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Stem cell growth factor receptor inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
553,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
554,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Serine/threonine-protein kinase B-raf inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
555,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
556,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00216239,9606.ENSP00000350941,583,0,700,891,985,CIDs00216239,ChEMBL,CHEMBL1200485,SORAFENIB TOSYLATE,4,Small molecule,2005,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,Sorafenib tosylate | Sorafenib tosilate | BAY 54-9085 | BAY-54-9085 | Nexavar
557,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00176870,9606.ENSP00000350941,194,0,700,346,832,CIDs00176870,ChEMBL,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,4,Small molecule,2004,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,Erlotinib hydrochloride | CP-358 | CP-358,774-01 | CP-358774-01 | OSI-774 | Tarceva
558,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00005352,9606.ENSP00000350941,0,0,700,0,700,CIDs01548886,ChEMBL,CHEMBL15770,SULINDAC,4,Small molecule,1978,Cyclooxygenase inhibitor,INHIBITOR,Sulindac | MK-231 | Clinoril
559,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00005076,9606.ENSP00000350941,0,0,700,138,733,CIDs00392622,ChEMBL,CHEMBL163,RITONAVIR,4,Small molecule,1996,Human immunodeficiency virus type 1 protease inhibitor,INHIBITOR,Ritonavir | ABBOTT-84538 | Norvir | A-84538 | ABT-538 | NSC-693184 | Ritonavir related compounds mixture
560,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00005076,9606.ENSP00000350941,0,0,700,138,733,CIDs00392622,ChEMBL,CHEMBL163,RITONAVIR,4,Small molecule,1996,Cytochrome P450 3A inhibitor,INHIBITOR,Ritonavir | ABBOTT-84538 | Norvir | A-84538 | ABT-538 | NSC-693184 | Ritonavir related compounds mixture
561,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00004920,9606.ENSP00000350941,0,0,900,369,935,CIDs00005994,ChEMBL,CHEMBL103,PROGESTERONE,4,Small molecule,1976,Progesterone receptor agonist,AGONIST,Progesterone | NSC-64377 | NSC-9704 | U 3672 | Crinone | Cyclogest | Endometrin | Gesterol | Lutigest | Milprosa | Prochieve | Progesta-care | Progestasert | Progestin | Prometrium | Regumate | Serenity for women | Syngestrone | Utrogestan
562,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003461,9606.ENSP00000350941,0,0,700,286,779,CIDs00060749,ChEMBL,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,4,Small molecule,1996,Ribonucleoside-diphosphate reductase RR1 inhibitor,INHIBITOR,Gemcitabine hydrochloride | Gemzar | LY-188011 | LY-188011 HYDROCHLORIDE | LY188011 HYDROCHLORIDE | Infugem
563,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003461,9606.ENSP00000350941,0,0,700,286,779,CIDs00060749,ChEMBL,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,4,Small molecule,1996,DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,Gemcitabine hydrochloride | Gemzar | LY-188011 | LY-188011 HYDROCHLORIDE | LY188011 HYDROCHLORIDE | Infugem
564,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003385,9606.ENSP00000350941,0,0,700,179,746,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,Thymidylate synthase inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
565,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003385,9606.ENSP00000350941,0,0,700,179,746,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,DNA inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
566,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003385,9606.ENSP00000350941,0,0,700,179,746,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,RNA inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
567,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00003054,9606.ENSP00000350941,0,0,900,898,989,CIDs00448537,ChEMBL,CHEMBL411,DIETHYLSTILBESTROL,4,Small molecule,1973,Estrogen receptor alpha agonist,AGONIST,Diethylstilbestrol | Cyren a | Estrobene | Estrogenine | Estromenin | Fonatol | New-estranol 1 | Palestrol | Stilbestroform | Stilbestrol | Stilboestrol | Synestrin | Synthestrin | NSC-3070 | Apstil | Distilbene | Stilbetin | Stilboesterol | Tampovagan
568,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00002548,9606.ENSP00000350941,0,0,700,122,728,CIDs01548943,ChEMBL,CHEMBL294199,CAPSAICIN,4,Small molecule,2009,Vanilloid receptor opener,OPENER,Capsaicin | Ngx-1998 | ALGRX 4975 | ALGRX-4975 | FEMA NO. 3404 | NGX-1998 | NGX-4010 | NSC-56353 | Qutenza | Zacin | Zostrix | Zostrix hp
569,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00002548,9606.ENSP00000350941,0,0,700,122,728,CIDs01548942,ChEMBL,CHEMBL313971,ZUCAPSAICIN,3,Small molecule,NA,Vanilloid receptor agonist,AGONIST,Zucapsaicin
570,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00000942,9606.ENSP00000350941,0,0,700,840,950,CIDs00089594,ChEMBL,CHEMBL3,NICOTINE,4,Small molecule,1984,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,Nicotine | Habitrol | Nicabate | Nicoderm | Nicoderm cq | Nicopass | Nicopatch | Nicorette invisi | Nicotinell classic | Nicotinell support | Nicotinell tts 10 | Nicotinell tts 20 | Nicotinell tts 30 | Nicotrol | Nicotrol Inhaler | Nicotrol NS | Niquitin | Niquitin clr | Niquitin minis cherry | Niquitin minis mint | Niquitin minis orange | Niquitin mint | Niquitin pre-quit | Niquitin strips mint | Prostep | Stoppers | Stubit
571,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00000784,9606.ENSP00000350941,0,0,700,917,974,CIDs00000784,ChEMBL,CHEMBL71595,HYDROGEN PEROXIDE,4,Small molecule,2017,Unknown,NA,Hydrogen peroxide | Hydrogen Peroxide | Oxydol | A-101 | NSC-19892 | Crystacide | Eskata | Hioxyl | Peroxyl
572,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00000727,9606.ENSP00000350941,0,0,700,0,700,CIDs00000727,ChEMBL,CHEMBL15891,LINDANE,4,Small molecule,1974,GABA-A receptor negative allosteric modulator,NEGATIVE ALLOSTERIC MODULATOR,Lindane | Benzene hexachloride, gamma | gamma-Hexachlorocyclohexane | Gammallin | Gammaxene | Hexachlorane | Hexicide | Esoderm | Gamene | Gamma Benzene HCl | Gexane | Kwell | Lorexane | Lorexane no 3 | Quellada | Scabene
573,SRC,ENSG00000197122,ENSP00000350941,protein_coding,CIDm00000450,9606.ENSP00000350941,0,0,700,887,965,CIDs00005757,ChEMBL,CHEMBL135,ESTRADIOL,4,Small molecule,1975,Estrogen receptor alpha agonist,AGONIST,Estradiol | Estradiol hemihydrate | Agofollin | Alfatradiol | Depo-Estradiol | Destradiol | Dihydrotheelin | Dihydroxyestrin | Estrasorb | Gynergon | Gynoestryl | Oestradiol | NSC-20293 | NSC-9895 | WC-3011 | WC3011 | Adgyn estro | Alora | Aquagen | Bedol | Climara | Climara Pro | Dermestril 100 | Dermestril 25 | Dermestril 50 | Dermestril septem 25 | Dermestril septem 50 | Dermestril septem 75 | Divigel | E-Cypionate | Elestrim | Elestrin | Elleste solo | Elleste solo mx 40 | Elleste solo mx 80 | Esclim | Estrace | Estraderm | Estraderm mx 100 | Estraderm mx 25 | Estraderm mx 50 | Estraderm mx 75 | Estraderm tts 100 | Estraderm tts 25 | Estraderm tts 50 | Estring | Estrogel | Evamist | Evorel 100 | Evorel 25 | Evorel 50 | Evorel 75 | Fematrix 40 | Fematrix 80 | Fempatch | Femseven 100 | Femseven 50 | Femseven 75 | Gvnodiol | Gynodiol | Gynogen | Imvexxy | Innofem | Menorest 37.5 | Menorest 50 | Menorest 75 | Menoring 50 | Menostar | Minivelle | Progynova ts | Sandrena | Vagifem | Vagifem 18 | Vagifem 8 | Vivelle | Vivelle-dot | Zumenon
574,BCAR1,ENSG00000050820,ENSP00000391669,protein_coding,CIDm00063062,9606.ENSP00000391669,0,0,700,0,700,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen receptor modulator,MODULATOR,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
575,BCAR1,ENSG00000050820,ENSP00000391669,protein_coding,CIDm00063062,9606.ENSP00000391669,0,0,700,0,700,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen-related receptor gamma antagonist,ANTAGONIST,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
576,BCAR1,ENSG00000050820,ENSP00000391669,protein_coding,CIDm00005376,9606.ENSP00000391669,0,0,700,338,795,CIDs02733525,ChEMBL,CHEMBL786,TAMOXIFEN CITRATE,4,Small molecule,1977,Estrogen receptor alpha modulator,MODULATOR,Tamoxifen citrate | I.C.I.46474 CITRATE | ICI 46,474 | ICI-46474 | Emblon | Fentamox 10 | Fentamox 20 | Kentadex | Kessar | Kessar 10 | Kessar 20 | Noltam | Nolvadex | Nolvadex d | Nolvadex fte | Oestrifen-10 | Oestrifen-20 | Oestrifen-40 | Soltamox | Tamofen | Zynoplex
577,BCAR1,ENSG00000050820,ENSP00000391669,protein_coding,CIDm00002662,9606.ENSP00000391669,0,0,700,0,700,CIDs00002662,ChEMBL,CHEMBL118,CELECOXIB,4,Small molecule,1998,Cyclooxygenase-2 inhibitor,INHIBITOR,Celecoxib | DFN-15 | DFN15 | SC-58635 | Celebra | Celebrex | Elyxyb | Onsenal
578,CCNH,ENSG00000134480,ENSP00000256897,protein_coding,CIDm00005538,9606.ENSP00000256897,0,0,700,0,700,CIDs00444795,ChEMBL,CHEMBL38,TRETINOIN,4,Small molecule,1971,Retinoic acid receptor agonist,AGONIST,Tretinoin | Retinoic acid | NSC-122758 | Acticin | Altreno | Atralin | Avita | Renova | Retin-a | Retin-a micro | Retin-a-micro | Tretin-X | Vesanoid
579,CCNH,ENSG00000134480,ENSP00000256897,protein_coding,CIDm00005538,9606.ENSP00000256897,0,0,700,0,700,CIDs05282379,ChEMBL,CHEMBL547,ISOTRETINOIN,4,Small molecule,1982,Retinoic acid receptor agonist,AGONIST,Isotretinoin | Retinoic acid 13-cis-form | 13 Cis-Retinoic Acid | PAT-001 | RO 4-3780 | RO-4-3780 | RO-43780 | Absorica | Absorica ld | Accutane | Amnesteem | Claravis | Isotrex | Myorisan | Roaccutane | Sotret | Zenatane
580,CCNH,ENSG00000134480,ENSP00000256897,protein_coding,CIDm00005538,9606.ENSP00000256897,0,0,700,0,700,CIDs00449171,ChEMBL,CHEMBL705,ALITRETINOIN,4,Small molecule,1999,Retinoid receptor agonist,AGONIST,Alitretinoin | Retinoic acid 9-cis-form | Panretin | AGN 192013 | AGN-192013 | ALRT-1057 | ALRT1057 | BAL-4079 | LG-100057 | LG100057 | LGD-1057 | LGD1057 | NSC-659772 | Toctino
581,MNAT1,ENSG00000020426,ENSP00000261245,protein_coding,CIDm00005538,9606.ENSP00000261245,0,0,700,0,700,CIDs00444795,ChEMBL,CHEMBL38,TRETINOIN,4,Small molecule,1971,Retinoic acid receptor agonist,AGONIST,Tretinoin | Retinoic acid | NSC-122758 | Acticin | Altreno | Atralin | Avita | Renova | Retin-a | Retin-a micro | Retin-a-micro | Tretin-X | Vesanoid
582,MNAT1,ENSG00000020426,ENSP00000261245,protein_coding,CIDm00005538,9606.ENSP00000261245,0,0,700,0,700,CIDs05282379,ChEMBL,CHEMBL547,ISOTRETINOIN,4,Small molecule,1982,Retinoic acid receptor agonist,AGONIST,Isotretinoin | Retinoic acid 13-cis-form | 13 Cis-Retinoic Acid | PAT-001 | RO 4-3780 | RO-4-3780 | RO-43780 | Absorica | Absorica ld | Accutane | Amnesteem | Claravis | Isotrex | Myorisan | Roaccutane | Sotret | Zenatane
583,MNAT1,ENSG00000020426,ENSP00000261245,protein_coding,CIDm00005538,9606.ENSP00000261245,0,0,700,0,700,CIDs00449171,ChEMBL,CHEMBL705,ALITRETINOIN,4,Small molecule,1999,Retinoid receptor agonist,AGONIST,Alitretinoin | Retinoic acid 9-cis-form | Panretin | AGN 192013 | AGN-192013 | ALRT-1057 | ALRT1057 | BAL-4079 | LG-100057 | LG100057 | LGD-1057 | LGD1057 | NSC-659772 | Toctino
584,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm25201794,9606.ENSP00000269305,0,0,700,843,951,CIDs25201794,ChEMBL,CHEMBL1466,DICUMAROL,4,Small molecule,1944,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,INHIBITOR,Dicoumarol | Dicumarol | Bishydroxycoumarin
585,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm05330286,9606.ENSP00000269305,0,0,700,141,734,CIDs05330286,ChEMBL,CHEMBL189963,PALBOCICLIB,4,Small molecule,2015,CDK6/cyclin D1 inhibitor,INHIBITOR,Palbociclib | PD-0332991 | Ibrance
586,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm05330286,9606.ENSP00000269305,0,0,700,141,734,CIDs05330286,ChEMBL,CHEMBL189963,PALBOCICLIB,4,Small molecule,2015,Cyclin-dependent kinase 4/cyclin D1 inhibitor,INHIBITOR,Palbociclib | PD-0332991 | Ibrance
587,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm05001396,9606.ENSP00000269305,0,0,700,0,700,CIDs05001396,ChEMBL,CHEMBL1200772,WARFARIN POTASSIUM,4,Small molecule,1982,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,INHIBITOR,Warfarin potassium | Athrombin-k
588,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm05001396,9606.ENSP00000269305,0,0,700,0,700,CIDs05001396,ChEMBL,CHEMBL1200879,WARFARIN SODIUM,4,Small molecule,1954,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,INHIBITOR,Warfarin sodium | Warfarin sodium salt | Athrombin | Coumadin | Jantoven | Marevan | Panwarfin
589,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00145068,9606.ENSP00000269305,0,0,700,899,968,CIDs00145068,ChEMBL,CHEMBL1200689,NITRIC OXIDE,4,Small molecule,1999,Soluble guanylate cyclase activator,ACTIVATOR,Nitric oxide | OHM-11771 | Genosyl | Inomax
590,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00107770,9606.ENSP00000269305,0,0,700,0,700,CIDs10221470,ChEMBL,CHEMBL252518,ARTENIMOL,4,Small molecule,NA,Unknown,NA,Artenimol | Dihydroartemisinin | GNF-PF-5634 | Artemether related compound a
591,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00093860,9606.ENSP00000269305,0,0,900,882,987,CIDs00387447,ChEMBL,CHEMBL325041,BORTEZOMIB,4,Small molecule,2003,26S proteosome inhibitor,INHIBITOR,Bortezomib | Bortezomib hydrate | Velcade | LDP-341 | NSC-681239 | PS-341
592,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00082146,9606.ENSP00000269305,0,0,700,833,948,CIDs00082146,ChEMBL,CHEMBL1023,BEXAROTENE,4,Small molecule,1999,Retinoid X receptor agonist,AGONIST,Bexarotene | LG-100069 | LG100069 | LGD-1069 | LGD1069 | Targretin | Targretine
593,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00054454,9606.ENSP00000269305,0,0,700,818,944,CIDs00054454,ChEMBL,CHEMBL1064,SIMVASTATIN,4,Small molecule,1991,HMG-CoA reductase inhibitor,INHIBITOR,Simvastatin | Simvastatin hydroxy acid | Synvinolin | C10AA01 | MK-0733 | MK-733 | Flolipid | Lacersa | Ranzolont | Simvador | Zocor | Zocor heart-pro
594,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00016886,9606.ENSP00000269305,0,0,700,876,961,CIDs00451668,ChEMBL,CHEMBL1201129,DECITABINE,4,Small molecule,2006,DNA (cytosine-5)-methyltransferase 3A inhibitor,INHIBITOR,Decitabine | DAC | NSC-127716 | Dacogen
595,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00016886,9606.ENSP00000269305,0,0,700,876,961,CIDs00451668,ChEMBL,CHEMBL1201129,DECITABINE,4,Small molecule,2006,DNA (cytosine-5)-methyltransferase 1 inhibitor,INHIBITOR,Decitabine | DAC | NSC-127716 | Dacogen
596,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00016886,9606.ENSP00000269305,0,0,700,876,961,CIDs00451668,ChEMBL,CHEMBL1201129,DECITABINE,4,Small molecule,2006,DNA inhibitor,INHIBITOR,Decitabine | DAC | NSC-127716 | Dacogen
597,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005978,9606.ENSP00000269305,0,0,700,444,828,CIDs00005978,ChEMBL,CHEMBL501867,VINCRISTINE SULFATE,4,Small molecule,1963,Tubulin inhibitor,INHIBITOR,Vincristine sulfate | 37231 | LILLY-37231 | NSC-67574 | Kyocristine | Leurocristine Sulfate | Marqibo kit | Oncovin | Vincasar | Vincasar pfs | Vincrex | Vincristine sulfate pfs
598,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005746,9606.ENSP00000269305,0,0,900,901,989,CIDs00005746,ChEMBL,CHEMBL105,MITOMYCIN,4,Small molecule,1981,DNA inhibitor,INHIBITOR,Mitomycin | Mitomycin c | Mytozytrex | Ugn-102 | NSC-26980 | UGN-101 | UGN-102 | Jelmyto | Mitosol | Mitozytrex | Mutamycin
599,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005645,9606.ENSP00000269305,0,0,700,814,942,CIDs00031401,ChEMBL,CHEMBL1551,URSODIOL,4,Small molecule,1987,Bile acid receptor FXR agonist,AGONIST,Ursodeoxycholic acid | Ursodiol | Ursodesoxycholic acid | Ursonorm | NSC-683769 | Actigall | Cholurso | Destolit | Urdox | Urso | Urso 250 | Urso forte | Ursofalk | Ursogal
600,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005645,9606.ENSP00000269305,0,0,700,814,942,CIDs00010133,ChEMBL,CHEMBL240597,CHENODIOL,4,Small molecule,1983,Bile acid receptor FXR agonist,AGONIST,Chenodeoxycholic acid | Chenodiol | Chenic acid | Chenodeoxycholate | NSC-657949 | Chendol 125 | Chendol 250 | Chenix | Chenocedon | Chenofalk | Combidol | Lithofalk | Xenbilox
601,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005591,9606.ENSP00000269305,0,0,700,822,945,CIDs00005591,ChEMBL,CHEMBL408,TROGLITAZONE,4,Small molecule,1997,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Troglitazone | Rezulin | CI-991 | CS-045 | GR-92132X | GR92132X | Prelay | Romozin
602,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005538,9606.ENSP00000269305,0,0,700,900,969,CIDs00444795,ChEMBL,CHEMBL38,TRETINOIN,4,Small molecule,1971,Retinoic acid receptor agonist,AGONIST,Tretinoin | Retinoic acid | NSC-122758 | Acticin | Altreno | Atralin | Avita | Renova | Retin-a | Retin-a micro | Retin-a-micro | Tretin-X | Vesanoid
603,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005538,9606.ENSP00000269305,0,0,700,900,969,CIDs05282379,ChEMBL,CHEMBL547,ISOTRETINOIN,4,Small molecule,1982,Retinoic acid receptor agonist,AGONIST,Isotretinoin | Retinoic acid 13-cis-form | 13 Cis-Retinoic Acid | PAT-001 | RO 4-3780 | RO-4-3780 | RO-43780 | Absorica | Absorica ld | Accutane | Amnesteem | Claravis | Isotrex | Myorisan | Roaccutane | Sotret | Zenatane
604,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005538,9606.ENSP00000269305,0,0,700,900,969,CIDs00449171,ChEMBL,CHEMBL705,ALITRETINOIN,4,Small molecule,1999,Retinoid receptor agonist,AGONIST,Alitretinoin | Retinoic acid 9-cis-form | Panretin | AGN 192013 | AGN-192013 | ALRT-1057 | ALRT1057 | BAL-4079 | LG-100057 | LG100057 | LGD-1057 | LGD1057 | NSC-659772 | Toctino
605,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005515,9606.ENSP00000269305,0,0,700,405,816,CIDs00060699,ChEMBL,CHEMBL1607,TOPOTECAN HYDROCHLORIDE,4,Small molecule,1996,DNA topoisomerase I, mitochondrial inhibitor,INHIBITOR,Topotecan hydrochloride | Nogitecan hydrochloride | SK&F S-104864-A | SK&F-S-104864A | SK-S-104864-A | Hycamptin | Hycamtin | Topotecan
606,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005394,9606.ENSP00000269305,0,0,700,751,923,CIDs00005394,ChEMBL,CHEMBL810,TEMOZOLOMIDE,4,Small molecule,1999,DNA inhibitor,INHIBITOR,Temozolomide | CCRG-81045 | M&B 39831 | M&B-39831 | M-39831 | NSC-362856 | SCH 52365 | SCH-52365 | Temodal | Temodar | Temomedac
607,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005376,9606.ENSP00000269305,0,0,700,545,859,CIDs02733525,ChEMBL,CHEMBL786,TAMOXIFEN CITRATE,4,Small molecule,1977,Estrogen receptor alpha modulator,MODULATOR,Tamoxifen citrate | I.C.I.46474 CITRATE | ICI 46,474 | ICI-46474 | Emblon | Fentamox 10 | Fentamox 20 | Kentadex | Kessar | Kessar 10 | Kessar 20 | Noltam | Nolvadex | Nolvadex d | Nolvadex fte | Oestrifen-10 | Oestrifen-20 | Oestrifen-40 | Soltamox | Tamofen | Zynoplex
608,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005311,9606.ENSP00000269305,0,0,700,864,958,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 1 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
609,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005311,9606.ENSP00000269305,0,0,700,864,958,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 3 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
610,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005311,9606.ENSP00000269305,0,0,700,864,958,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 6 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
611,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00005311,9606.ENSP00000269305,0,0,700,864,958,CIDs00005311,ChEMBL,CHEMBL98,VORINOSTAT,4,Small molecule,2006,Histone deacetylase 2 inhibitor,INHIBITOR,Vorinostat | MK-0683 | MK0683 | Zolinza
612,TP53,ENSG00000141510,ENSP00000269305,protein_coding,CIDm00004920,9606.ENSP00000269305,0,0,700,886,964,CIDs00005994,ChEMBL,CHEMBL103,PROGESTERONE,4,Small molecule,1976,Progesterone receptor agonist,AGONIST,Progesterone | NSC-64377 | NSC-9704 | U 3672 | Crinone | Cyclogest | Endometrin | Gesterol | Lutigest | Milprosa | Prochieve | Progesta-care | Progestasert | Progestin | Prometrium | Regumate | Serenity for women | Syngestrone | Utrogestan
